"Address","Status Code","Title 1"
"https://echipadetocilari.ro/","301",""
"https://www.echipadetocilari.ro/","200","Home | Echipa De Tocilari"
"https://www.echipadetocilari.ro/creare-site-web/","200","Creare Site Web | Echipa De Tocilari"
"https://www.echipadetocilari.ro/portofoliu/","200","Portofoliu | Echipa De Tocilari"
"https://www.echipadetocilari.ro/administrare-site/","200","Administrare Site | Echipa De Tocilari"
"https://www.echipadetocilari.ro/contact/","200","Contact | Echipa De Tocilari"
"https://www.echipadetocilari.ro/servicii-seo/","200","Servicii SEO | Echipa De Tocilari"
"https://www.echipadetocilari.ro/about-2/","200","About | Echipa De Tocilari"
"https://www.echipadetocilari.ro/services/","200","Services | Echipa De Tocilari"
"https://www.echipadetocilari.ro/clients/","200","Clients | Echipa De Tocilari"
"http://www.echipadetocilari.ro/","301",""
