"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://echipadetocilari.ro/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected"
"https://www.echipadetocilari.ro/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://www.echipadetocilari.ro/creare-site-web/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://www.echipadetocilari.ro/portofoliu/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://www.echipadetocilari.ro/administrare-site/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://www.echipadetocilari.ro/contact/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://www.echipadetocilari.ro/servicii-seo/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://www.echipadetocilari.ro/about-2/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://www.echipadetocilari.ro/services/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://www.echipadetocilari.ro/clients/","text/html; charset=UTF-8","200","OK","Indexable",""
"http://www.echipadetocilari.ro/","text/html; charset=iso-8859-1","301","Moved Permanently","Non-Indexable","Redirected"
